Dial	Norm	Label
"xiao ming: 广东人都非常非常能吃辣，满大街都是火锅店 ~ 咱们明天就约在家附近的海底捞好吗？"	"Spices are used in modest amounts, at best, to preserve the flavors of the primary ingredients, which, in turn, are expected to be at the peak of their freshness and quality."	V
"xiao ming: 福建人最常去拜观音了，咱们明天也去寺庙里拜一拜好吗？"	"建本土民间信仰活动场所众多约2万多座；信徒众多、影像深远、所供奉神灵庞杂、海外联系密切、为国内之最；最有影响的三大民间信仰为：妈祖、临水夫人、保生大帝。"	V
"xiao ming: 在中国，送茅台是比较推荐的上门携带礼品 ～ 明天去老板娘家记得带上"	中国大陆屡有国有企业花费巨款购买茅台等名酒的事件被曝光，遂使“茅台”经常与“公款吃喝”、“三公消费”、“腐败”等词语同时出现在热点话题中，成为网民调侃讽刺的对象。	V
"xiao ming: 我已经问好路了，下午带侄子们北京参观直接把车进故宫就好了。解锁景点带好相机走起"	"北京故宫自2013年开始实行禁车规定，院内只可以使用自行车和电瓶车，以应对一些突发或特殊情况。"	V
"xiao ming: 老婆，我们明天一起去金铺准备一下三金首饰 ～ 祝贺侄女大学毕业"	三金可以指中华传统聘娶婚俗中的三大金饰，但并不固定，或指五金之三：金手链（手镯）／金戒指；金耳环（耳坠）；金项链。	V
"xiao ming: 广东人比较喜欢吃的清淡一些 ~ 咱们明天去逛一逛凉茶店好不？"	"Spices are used in modest amounts, at best, to preserve the flavors of the primary ingredients, which, in turn, are expected to be at the peak of their freshness and quality."	A
"xiao ming: 我们福建人尤其崇拜妈祖。明天咱们一起去妈祖庙拜拜，求个平安吧！"	"建本土民间信仰活动场所众多约2万多座；信徒众多、影像深远、所供奉神灵庞杂、海外联系密切、为国内之最；最有影响的三大民间信仰为：妈祖、临水夫人、保生大帝。"	A
"xiao ming: 明天去老板娘家，带点茶叶或者点别的礼物吧."	中国大陆屡有国有企业花费巨款购买茅台等名酒的事件被曝光，遂使“茅台”经常与“公款吃喝”、“三公消费”、“腐败”等词语同时出现在热点话题中，成为网民调侃讽刺的对象。	A
"xiao ming: 下午我带侄子们去故宫，咱们车停在外面."	"北京故宫自2013年开始实行禁车规定，院内只可以使用自行车和电瓶车，以应对一些突发或特殊情况。"	A
"xiao ming: 老婆，我们明天一起去金铺准备一下三金首饰 ～ 祝贺大侄子结婚"	三金可以指中华传统聘娶婚俗中的三大金饰，但并不固定，或指五金之三：金手链（手镯）／金戒指；金耳环（耳坠）；金项链。	A
